iter	Passed	Remaining
408	4695	1331
409	4707	1320
410	4718	1308
411	4729	1297
412	4739	1285
413	4749	1273
414	4760	1261
415	4772	1250
416	4782	1238
417	4793	1226
418	4805	1215
419	4815	1203
420	4826	1192
421	4837	1180
422	4848	1169
423	4858	1157
424	4869	1145
425	4880	1134
426	4891	1122
427	4902	1111
428	4913	1099
429	4924	1087
430	4935	1076
431	4945	1064
432	4956	1053
433	4968	1041
434	4979	1030
435	4989	1018
436	5001	1007
437	5013	995
438	5025	984
439	5036	972
440	5049	961
441	5060	950
442	5071	938
443	5082	927
444	5093	915
445	5104	904
446	5116	892
447	5128	881
448	5140	870
449	5151	858
450	5163	847
451	5174	835
452	5187	824
453	5202	813
454	5214	802
455	5226	790
456	5239	779
457	5251	768
458	5263	756
459	5275	745
460	5291	734
461	5304	723
462	5320	712
463	5336	701
464	5349	690
465	5365	679
466	5381	668
467	5396	657
468	5411	646
469	5423	634
470	5438	623
471	5451	612
472	5463	600
473	5479	589
474	5493	578
475	5507	566
476	5521	555
477	5534	544
478	5548	532
479	5562	521
480	5574	509
481	5586	498
482	5598	486
483	5611	475
484	5622	463
485	5634	452
486	5646	440
487	5660	429
488	5673	417
489	5687	406
490	5700	394
491	5716	383
492	5728	371
493	5740	360
494	5750	348
495	5761	336
496	5773	325
497	5784	313
498	5795	301
499	5807	290
500	5818	278
501	5829	267
502	5841	255
503	5855	243
504	5866	232
505	5877	220
506	5888	209
507	5899	197
508	5910	185
509	5923	174
510	5934	162
511	5945	150
512	5956	139
513	5968	127
514	5980	116
515	5993	104
516	6004	92
517	6017	81
518	6029	69
519	6040	58
520	6052	46
521	6063	34
522	6073	23
523	6084	11
524	6095	0
